| #                                                    | Title                                             | Author / Origin                                     | Public-Domain Source                                        |
| **🇩🇪 German Fairy Tales (Brothers Grimm)**         |                                                   |                                                     |                                                             |
| 21                                                   | Hansel and Gretel                                 | Jacob & Wilhelm Grimm                               | [Project Gutenberg](https://www.gutenberg.org/ebooks/5314)  |
| 22                                                   | Snow White                                        | Jacob & Wilhelm Grimm                               | [Project Gutenberg](https://www.gutenberg.org/ebooks/5314)  |
| 23                                                   | Rapunzel                                          | Jacob & Wilhelm Grimm                               | [Project Gutenberg](https://www.gutenberg.org/ebooks/5314)  |
| 24                                                   | Rumpelstiltskin                                   | Jacob & Wilhelm Grimm                               | [Project Gutenberg](https://www.gutenberg.org/ebooks/5314)  |
| 25                                                   | The Frog Prince                                   | Jacob & Wilhelm Grimm                               | [Project Gutenberg](https://www.gutenberg.org/ebooks/5314)  |
| 26                                                   | The Golden Goose                                  | Jacob & Wilhelm Grimm                               | [Project Gutenberg](https://www.gutenberg.org/ebooks/5314)  |
| 27                                                   | The Fisherman and His Wife                        | Jacob & Wilhelm Grimm                               | [Project Gutenberg](https://www.gutenberg.org/ebooks/5314)  |
| 28                                                   | The Twelve Dancing Princesses                     | Jacob & Wilhelm Grimm                               | [Project Gutenberg](https://www.gutenberg.org/ebooks/5314)  |
| 29                                                   | The Goose Girl                                    | Jacob & Wilhelm Grimm                               | [Project Gutenberg](https://www.gutenberg.org/ebooks/5314)  |
| 30                                                   | The Elves and the Shoemaker                       | Jacob & Wilhelm Grimm                               | [Project Gutenberg](https://www.gutenberg.org/ebooks/5314)  |
| **🏜️ Arabic Tales – *One Thousand and One Nights*** |                                                   |                                                     |                                                             |
| 31                                                   | Aladdin and the Magic Lamp                        | Anonymous / Arabic Legend                           | [Project Gutenberg](https://www.gutenberg.org/ebooks/5667)  |
| 32                                                   | Ali Baba and the Forty Thieves                    | Anonymous / Arabic Legend                           | [Project Gutenberg](https://www.gutenberg.org/ebooks/5667)  |
| 33                                                   | The Seven Voyages of Sinbad the Sailor            | Anonymous / Arabic Legend                           | [Project Gutenberg](https://www.gutenberg.org/ebooks/5667)  |
| 34                                                   | The Story of the Three Apples                     | *One Thousand and One Nights*                       | [Project Gutenberg](https://www.gutenberg.org/ebooks/5667)  |
| 35                                                   | The Ebony Horse                                   | *One Thousand and One Nights*                       | [Project Gutenberg](https://www.gutenberg.org/ebooks/5667)  |
| 36                                                   | The Fisherman and the Genie                       | *One Thousand and One Nights*                       | [Project Gutenberg](https://www.gutenberg.org/ebooks/5667)  |
| 37                                                   | The Porter and the Three Ladies of Baghdad        | *One Thousand and One Nights*                       | [Project Gutenberg](https://www.gutenberg.org/ebooks/5667)  |
| 38                                                   | The Tale of the Hunchback                         | *One Thousand and One Nights*                       | [Project Gutenberg](https://www.gutenberg.org/ebooks/5667)  |
| 39                                                   | The Story of Nur al-Din Ali and His Son           | *One Thousand and One Nights*                       | [Project Gutenberg](https://www.gutenberg.org/ebooks/5667)  |
| 40                                                   | The Story of Prince Ahmed and the Fairy Peribanou | *One Thousand and One Nights*                       | [Project Gutenberg](https://www.gutenberg.org/ebooks/5667)  |
| **🐉 Chinese Fairy Tales (in English Translation)**  |                                                   |                                                     |                                                             |
| 41                                                   | The Cowherd and the Weaver Girl                   | Ancient Chinese Legend                              | [Project Gutenberg](https://www.gutenberg.org/ebooks/7341)  |
| 42                                                   | The Butterfly Lovers                              | Ancient Chinese Legend                              | [Project Gutenberg](https://www.gutenberg.org/ebooks/7341)  |
| 43                                                   | The Dragon King’s Daughter                        | Chinese Folk Tradition                              | [Project Gutenberg](https://www.gutenberg.org/ebooks/7341)  |
| 44                                                   | The Painted Skin                                  | Pu Songling – *Strange Tales from a Chinese Studio* | [Project Gutenberg](https://www.gutenberg.org/ebooks/23962) |
| 45                                                   | The Magic Brocade                                 | Chinese Folk Tale                                   | [Project Gutenberg](https://www.gutenberg.org/ebooks/7341)  |
| 46                                                   | The King of the Golden Mountain                   | Chinese adaptation                                  | [Project Gutenberg](https://www.gutenberg.org/ebooks/7341)  |
| 47                                                   | The Moon Maiden                                   | Chinese Folk Tale                                   | [Project Gutenberg](https://www.gutenberg.org/ebooks/7341)  |
| 48                                                   | The Treasure-Fish                                 | Chinese Folk Tale                                   | [Project Gutenberg](https://www.gutenberg.org/ebooks/7341)  |
| 49                                                   | The Flower-Elves                                  | Chinese Folk Tale                                   | [Project Gutenberg](https://www.gutenberg.org/ebooks/7341)  |
| 50                                                   | The Fairy Foxes                                   | Pu Songling – *Strange Tales from a Chinese Studio* | [Project Gutenberg](https://www.gutenberg.org/ebooks/23962) |
