| #  | Titre                                                    | Auteur                            | Source domaine public                                                                                                             |
| 11 | Gracieuse et Percinet                                    | Marie-Catherine d’Aulnoy          | [Wikisource (recueil « Contes de Madame d’Aulnoy »)](https://fr.wikisource.org/wiki/Gracieuse_et_Percinet_%28d%E2%80%99Aulnoy%29) |
| 12 | La Belle aux cheveux d’or                                | Marie-Catherine d’Aulnoy          | [Wikisource (recueil)](https://fr.wikisource.org/wiki/La_Belle_aux_cheveux_d%E2%80%99or_%28d%E2%80%99Aulnoy%29)                   |
| 13 | L’Oiseau bleu                                            | Marie-Catherine d’Aulnoy          | [Wikisource (recueil)](https://fr.wikisource.org/wiki/L%E2%80%99Oiseau_bleu_%28d%E2%80%99Aulnoy%29)                               |
| 14 | Finette Cendron                                          | Marie-Catherine d’Aulnoy          | [Wikisource (recueil)](https://fr.wikisource.org/wiki/Finette_Cendron_%28d%E2%80%99Aulnoy%29)                                     |
| 15 | Le Nain jaune                                            | Marie-Catherine d’Aulnoy          | [Wikisource (recueil)](https://fr.wikisource.org/wiki/Le_Nain_jaune_%28d%E2%80%99Aulnoy%29)                                       |
| 16 | La Chatte blanche                                        | Marie-Catherine d’Aulnoy          | [Wikisource (recueil)](https://fr.wikisource.org/wiki/La_Chatte_blanche_%28d%E2%80%99Aulnoy%29)                                   |
| 17 | La Belle et la Bête                                      | Jeanne-Marie Leprince de Beaumont | [Wikisource (texte)](https://fr.wikisource.org/wiki/La_Belle_et_la_B%C3%AAte)                                                     |
| 18 | La Cigale et la Fourmi                                   | Jean de La Fontaine               | [Wikisource (Fables, éd. 1874)](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_I/1)                                |
| 19 | Le Corbeau et le Renard                                  | Jean de La Fontaine               | [Wikisource (Fables, éd. 1874)](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_I/2)                                |
| 20 | Le Loup et l’Agneau                                      | Jean de La Fontaine               | [Wikisource (Fables, éd. 1874)](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_I/10)                               |
| 21 | Le Lièvre et la Tortue                                   | Jean de La Fontaine               | [Wikisource](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_VI/10)                                                 |
| 22 | Le Rat de ville et le Rat des champs                     | Jean de La Fontaine               | [Wikisource](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_I/9)                                                   |
| 23 | Le Lion et le Rat                                        | Jean de La Fontaine               | [Wikisource](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_II/11)                                                 |
| 24 | Le Chêne et le Roseau                                    | Jean de La Fontaine               | [Wikisource](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_I/22)                                                  |
| 25 | La Grenouille qui se veut faire aussi grosse que le Bœuf | Jean de La Fontaine               | [Wikisource](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_I/3)                                                   |
| 26 | Le Loup et le Chien                                      | Jean de La Fontaine               | [Wikisource](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_I/5)                                                   |
| 27 | Le Laboureur et ses enfants                              | Jean de La Fontaine               | [Wikisource](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_V/9)                                                   |
| 28 | Le Renard et la Cigogne                                  | Jean de La Fontaine               | [Wikisource](https://fr.wikisource.org/wiki/Fables_%28La_Fontaine%29/Livre_I/18)                                                  |
| 29 | Le Nain bleu                                             | Marie-Catherine d’Aulnoy          | [Wikisource](https://fr.wikisource.org/wiki/Le_Nain_bleu_%28d%E2%80%99Aulnoy%29)                                                  |
| 30 | La Biche au bois                                         | Marie-Catherine d’Aulnoy          | [Wikisource](https://fr.wikisource.org/wiki/La_Biche_au_bois_%28d%E2%80%99Aulnoy%29)                                              |
